ordinal,field,expected_picture_top_line,expected_event,finding,note
62717,1,25,place,5,raw picture start confirmed; recorded_top=L25; picture_top=L25; L24=69.898/53.232 L25=92.741/80.550 L26=88.947/75.875
62723,1,25,place,5,raw picture start confirmed; recorded_top=L25; picture_top=L25; L24=66.188/49.074 L25=88.156/76.791 L26=85.108/73.699
63053,2,288,place,4,raw picture start confirmed; recorded_top=L288; picture_top=L288; L287=26.061/41.499 L288=153.536/26.648 L289=148.355/26.189
63330,1,25,hold_previous,2,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L25; picture_top=L25; L24=35.778/49.330 L25=22.934/3.196 L26=31.883/6.675"
63330,2,288,place,2,raw picture start confirmed; recorded_top=L288; picture_top=L288; L287=81.597/65.985 L288=30.717/6.876 L289=32.817/5.813
63331,1,24,hold_previous,2,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L24; picture_top=L24; L23=35.192/49.593 L24=21.698/2.875 L25=34.967/11.988"
63331,2,288,place,2,raw picture start confirmed; recorded_top=L288; picture_top=L288; L287=69.228/64.655 L288=37.766/15.434 L289=40.494/14.192
63506,1,25,hold_previous,7,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L25; picture_top=L25; L24=32.908/45.788 L25=19.861/1.889 L26=117.445/44.862"
64097,1,23,place,9,raw picture start confirmed; recorded_top=L23; picture_top=L23; L22=1.381/0.486 L23=31.180/1.704 L24=24.794/1.794
64097,2,286,place,9,raw picture start confirmed; recorded_top=L286; picture_top=L286; L285=1.383/0.486 L286=28.459/1.823 L287=26.541/1.792
66421,1,26,place,4,raw picture start confirmed; recorded_top=L25; picture_top=L26; L25=7.636/1.883 L26=71.470/5.842 L27=70.294/4.920
66422,2,288,place,1,raw picture start confirmed; recorded_top=L286; picture_top=L288; L287=5.384/2.807 L288=71.409/5.722 L289=70.877/4.892
66423,2,288,place,1,raw picture start confirmed; recorded_top=L286; picture_top=L288; L287=5.141/2.738 L288=70.558/5.741 L289=71.027/4.909
66424,2,288,place,1,raw picture start confirmed; recorded_top=L286; picture_top=L288; L287=5.006/2.802 L288=71.380/5.709 L289=71.787/4.650
