capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
w_2100s,186,2096,1,24,24,260,260,0,0,censored,censored,L24=110.053/15.823 L259=121.439/82.901 L260=16.336/7.603 L262=10.703/0.728 L263=1.355/0.482
w_2100s,186,2096,2,288,288,523,523,0,0,censored,censored,L288=154.481/23.424 L522=122.980/82.836 L523=11.136/0.853 L525=10.633/0.712 L526=1.389/0.497 L527=16.000/0.000
w_2100s,187,2097,1,24,24,260,260,0,0,censored,censored,L24=110.544/15.230 L259=119.959/82.989 L260=15.900/7.462 L262=10.664/0.719 L263=1.387/0.497
w_2100s,187,2097,2,288,288,523,522,0,-1,censored,censored,L288=153.800/24.719 L521=120.734/82.735 L522=121.158/82.962 L525=10.934/0.730 L526=1.389/0.506 L527=16.000/0.000
w_2100s,188,2098,1,24,25,260,261,1,1,censored,censored,L25=110.322/15.980 L260=120.287/83.410 L261=15.077/5.253 L262=10.955/0.930 L263=1.398/0.502 L264=1.386/0.487
w_2100s,188,2098,2,288,288,522,522,0,0,censored,censored,L288=155.725/23.552 L521=120.719/83.136 L522=122.016/83.076 L525=10.723/0.746 L526=1.395/0.498 L527=16.000/0.000
w_2100s,189,2099,1,25,25,261,261,0,0,censored,censored,L25=111.170/15.366 L260=120.898/83.452 L261=15.344/5.824 L262=10.791/0.917 L263=1.386/0.496 L264=1.387/0.487
w_2100s,189,2099,2,288,288,522,523,0,1,censored,censored,L288=153.583/24.564 L522=122.339/82.814 L523=10.609/0.877 L525=10.836/0.739 L526=1.387/0.497 L527=16.000/0.000
w_2100s,190,2100,1,25,25,261,261,0,0,censored,censored,L25=110.081/14.642 L260=121.042/83.671 L261=16.203/7.844 L262=10.728/0.881 L263=1.372/0.487 L264=1.380/0.485
w_2100s,190,2100,2,288,288,523,522,0,-1,censored,censored,L288=154.447/23.857 L521=120.403/82.897 L522=121.516/83.106 L525=11.070/0.696 L526=1.387/0.506 L527=16.000/0.000
w_2100s,191,2101,1,25,24,261,260,-1,-1,censored,censored,L24=111.589/15.648 L259=121.338/83.553 L260=15.617/7.283 L262=10.689/0.730 L263=1.384/0.496
w_2100s,191,2101,2,288,288,522,522,0,0,censored,censored,L288=151.609/24.720 L521=121.769/83.338 L522=122.697/83.118 L525=10.853/0.735 L526=1.392/0.507 L527=16.000/0.000
w_2100s,192,2102,1,24,25,260,261,1,1,censored,censored,L25=112.378/14.737 L260=122.194/83.248 L261=16.273/8.606 L262=10.798/0.839 L263=1.384/0.496 L264=1.355/0.478
w_2100s,192,2102,2,288,288,522,522,0,0,censored,censored,L288=153.417/24.533 L521=121.344/83.104 L522=122.545/83.311 L525=10.873/0.704 L526=1.361/0.499 L527=16.000/0.000
w_2100s,193,2103,1,25,25,261,261,0,0,censored,censored,L25=112.766/14.733 L260=122.989/83.287 L261=16.333/8.724 L262=10.528/0.858 L263=1.363/0.490 L264=1.397/0.489
w_2100s,193,2103,2,288,288,522,522,0,0,censored,censored,L288=153.619/24.391 L521=122.497/82.949 L522=123.430/83.005 L525=10.834/0.736 L526=1.380/0.504 L527=16.000/0.000
w_2100s,194,2104,1,25,25,261,261,0,0,censored,censored,L25=113.733/14.240 L260=123.409/82.915 L261=16.642/9.513 L262=11.269/0.906 L263=1.377/0.488 L264=1.378/0.485
w_2100s,194,2104,2,288,288,522,523,0,1,censored,censored,L288=153.817/23.699 L522=122.031/82.871 L523=11.058/0.879 L525=10.841/0.760 L526=1.370/0.502 L527=16.000/0.000
w_2100s,195,2105,1,25,25,261,261,0,0,censored,censored,L25=112.705/14.098 L260=121.669/82.511 L261=16.703/10.619 L262=11.058/0.909 L263=1.380/0.489 L264=1.372/0.483
w_2100s,195,2105,2,288,288,523,523,0,0,censored,censored,L288=151.228/22.949 L522=124.088/82.643 L523=11.334/0.980 L525=10.789/0.714 L526=1.380/0.495 L527=16.000/0.000
w_2100s,196,2106,1,25,24,261,260,-1,-1,censored,censored,L24=113.237/14.052 L259=123.358/83.057 L260=16.905/9.603 L262=11.019/0.729 L263=1.378/0.488
w_2100s,196,2106,2,288,288,523,522,0,-1,censored,censored,L288=156.861/24.205 L521=122.748/82.778 L522=123.395/82.796 L525=10.591/0.667 L526=1.384/0.505 L527=16.000/0.000
w_2100s,197,2107,1,24,25,260,261,1,1,censored,censored,L25=112.125/14.148 L260=123.942/83.275 L261=17.719/12.857 L262=11.103/0.878 L263=1.369/0.489 L264=1.358/0.479
w_2100s,197,2107,2,288,288,522,522,0,0,censored,censored,L288=156.137/24.405 L521=123.809/82.800 L522=125.053/82.938 L525=10.722/0.719 L526=1.394/0.498 L527=16.000/0.000
w_2100s,198,2108,1,25,25,261,261,0,0,censored,censored,L25=112.081/14.445 L260=124.147/82.737 L261=18.106/13.732 L262=11.277/0.967 L263=1.387/0.490 L264=1.369/0.482
w_2100s,198,2108,2,288,288,522,523,0,1,censored,censored,L288=154.786/22.812 L522=123.775/82.493 L523=11.117/0.920 L525=10.528/0.713 L526=1.384/0.505 L527=16.000/0.000
w_2100s,199,2109,1,25,25,261,261,0,0,censored,censored,L25=112.503/13.961 L260=124.377/82.788 L261=17.256/11.748 L262=11.466/0.960 L263=1.384/0.496 L264=1.377/0.485
w_2100s,199,2109,2,288,288,523,522,0,-1,censored,censored,L288=152.792/23.262 L521=124.614/82.588 L522=124.736/82.777 L525=10.825/0.719 L526=1.383/0.505 L527=16.000/0.000
w_2100s,200,2110,1,25,25,261,261,0,0,censored,censored,L25=112.914/14.791 L260=125.803/82.997 L261=19.062/18.296 L262=11.309/0.948 L263=1.364/0.491 L264=1.384/0.486
w_2100s,200,2110,2,288,288,522,523,0,1,censored,censored,L288=154.394/22.872 L522=125.302/82.530 L523=11.375/0.882 L525=10.825/0.712 L526=1.387/0.518 L527=16.000/0.000
w_2100s,201,2111,1,25,25,261,261,0,0,censored,censored,L25=112.338/14.251 L260=125.686/83.040 L261=17.572/14.286 L262=11.355/0.944 L263=1.375/0.494 L264=1.377/0.485
w_2100s,201,2111,2,288,288,523,522,0,-1,censored,censored,L288=153.319/23.116 L521=124.138/82.687 L522=126.327/82.544 L525=10.944/0.700 L526=1.366/0.501 L527=16.000/0.000
w_2100s,202,2112,1,25,24,261,260,-1,-1,censored,censored,L24=113.731/13.707 L259=125.139/82.520 L260=18.480/16.903 L262=10.802/0.756 L263=1.395/0.492
