capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
composite,286,6328,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=5.819/1.945 L525=10.684/0.789
composite,287,6329,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=5.158/1.092 L262=9.733/0.853
composite,287,6329,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=11.250/12.070 L525=10.217/0.785
composite,288,6330,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=10.339/9.782 L262=10.439/0.737
composite,288,6330,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=20.723/11.475 L525=10.088/0.908
composite,289,6331,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=8.264/15.230 L262=9.973/0.795
composite,289,6331,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=18.464/3.225 L525=7.612/0.746
composite,290,6332,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=3.973/2.167 L262=7.944/0.718
composite,290,6332,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=19.538/2.994 L525=7.862/0.748
composite,291,6333,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=8.467/12.084 L262=7.895/0.711
composite,291,6333,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=15.213/2.961 L525=8.986/0.757
composite,292,6334,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=8.209/8.526 L262=8.042/0.764
composite,292,6334,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=19.027/10.966 L525=8.838/0.708
composite,293,6335,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=8.309/4.298 L262=7.775/0.752
composite,293,6335,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=19.358/10.620 L525=6.983/0.787
composite,294,6336,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=1.405/0.491 L262=8.209/0.700
composite,294,6336,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=16.967/2.649 L525=11.637/0.894
composite,295,6337,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=9.238/2.945 L262=8.058/0.736
composite,295,6337,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=19.180/6.042 L525=8.723/0.850
composite,296,6338,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=8.350/13.290 L262=7.875/0.709
composite,296,6338,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=18.422/6.099 L525=8.822/0.812
composite,297,6339,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=8.566/13.788 L262=6.888/0.912
composite,297,6339,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=18.492/10.723 L525=8.786/0.857
composite,298,6340,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=7.516/9.122 L262=7.227/0.837
composite,298,6340,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=21.473/14.124 L525=8.692/0.881
composite,299,6341,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=7.669/9.328 L262=6.963/0.832
composite,299,6341,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=18.220/10.235 L525=8.548/0.755
composite,300,6342,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=7.941/8.695 L262=7.222/0.789
composite,300,6342,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=18.389/13.605 L525=7.031/0.800
composite,301,6343,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=3.086/1.764 L262=6.797/0.731
